代码,名称,流通A股(万股),总股本(万股)
sz300248,新开普,30944.9172,32462.4301
sz300249,依米康,41140.4333,43538.4534
sz300250,初灵信息,19653.0355,23226.9206
sz300251,光线传媒,293360.8432,293360.8432
sz300252,金信诺,40848.248,44446.4488
sz300253,卫宁健康,157142.3782,160045.9582
sz300254,仟源医药,19267.2,20830.8
sz300255,常山药业,84788.415,93496.6878
sz300256,星星科技,51465.1872,64810.8942
sz300257,开山股份,85800,85800
sz300258,精锻科技,40500,40500
sz300259,新天科技,46316.16,53438.9981
sz300260,新莱应材,19181.625,20194
sz300261,雅本化学,51464.5989,53697.4518
sz300262,巴安水务,37352,44695.7533
sz300263,隆华节能,76374.5466,88207.9304
sz300264,佳创视讯,41310,41310
sz300265,通光线缆,33750,33750
sz300266,兴源环境,91217.589,101712.032
sz300267,尔康制药,182977.6,206260.487
sz300268,佳沃股份,9840.1081,13400
sz300269,联建光电,38595.4557,61368.8411
sz300270,中威电子,27250.3,27250.3
sz300271,华宇软件,62724.7538,66851.8123
sz300272,开能环保,37816.5469,39818.5632
sz300273,和佳股份,78448.7552,78782.3576
sz300274,阳光电源,119830.86,144876.86
sz300275,梅安森,16427.6,16753.6
sz300276,三丰智能,37440,37440
sz300277,海联讯,33500,33500
sz300278,华昌达,35312.372,54504.3412
sz300279,和晶科技,41338.0657,44894.1998
sz300280,南通锻压,12800,12800
sz300281,金明精机,24344.9538,24344.9538
sz300282,汇冠股份,17178.11,24953.7637
sz300283,温州宏丰,41436.135,41436.135
sz300284,苏交科,50006.706,56092.81
sz300285,国瓷材料,50972.6052,59830.1142
sz300286,安科瑞,14244.1,14452
sz300287,飞利信,133597.3704,143527.3808
sz300288,朗玛信息,32849.502,33794.1402
sz300289,利德曼,38991.9445,42380.5235
sz300290,荣科科技,27200,32142.9652
sz300291,华录百纳,54392.167,81246.1176
sz300292,吴通控股,86747.8856,127485.0476
sz300293,蓝英装备,27000,27000
sz300294,博雅生物,34110,40107.7201
sz300295,三六五网,19206,19206
sz300296,利亚德,129082.1448,162891.065
sz300297,蓝盾股份,90152.8362,117545.5904
sz300298,三诺生物,40503.6839,40503.6839
sz300299,富春股份,23692.6086,38000.2637
sz300300,汉鼎宇佑,38312.02,45939.3716
sz300301,长方集团,69552.24,79010.8769
sz300302,同有科技,41203.5498,42127.0038
sz300303,聚飞光电,123849.6147,124917.5547
sz300304,云意电气,86195.1218,86195.1218
sz300305,裕兴股份,25950.795,28978.9
sz300306,远方光电,20192.433,28747.3405
sz300307,慈星股份,80200,80200
sz300308,中际装备,21601.08,21601.08
sz300309,吉艾科技,43454.8,48402.6066
sz300310,宜通世纪,74661.523,83842.7722
sz300311,任子行,35849.2165,44800.9392
sz300312,邦讯技术,31599,32004
sz300313,天山生物,18422.1477,19735.2789
sz300314,戴维医疗,28800,28800
sz300315,掌趣科技,243590.9581,277087.4854
sz300316,晶盛机电,98298.103,98507.55
sz300317,珈伟股份,40333.3783,85448.7361
sz300318,博晖创新,65469.4303,82141.0144
sz300319,麦捷科技,48497.2283,70432.9075
sz300320,海达股份,29334.8,29334.8
sz300321,同大股份,8880,8880
sz300322,硕贝德,40676.985,40751.685
sz300323,华灿光电,67500,84098.8759
sz300324,旋极信息,92126.8752,117219.6195
sz300325,德威新材,80000,101707.2385
sz300326,凯利泰,65215.3744,71492.0317
sz300327,中颖电子,18819.8148,19017.6477
sz300328,宜安科技,40977,40977
sz300329,海伦钢琴,25128.988,25128.988
sz300330,华虹计通,16800,16851.73
sz300331,苏大维格,18600,22604.8841
sz300332,天壕环境,64543,90160.2064
sz300333,兆日科技,33600,33600
sz300334,津膜科技,27603.7707,27603.7707
sz300335,迪森股份,36088.6045,36205.1545
sz300336,新文化,50412.8992,53754.807
sz300337,银邦股份,82192,82192
sz300338,开元股份,25190.636,33961.9692
sz300339,润和软件,47381.9,71546.67
sz300340,科恒股份,10000,11785.8178
sz300341,麦迪电气,37115.2,51021.1336
sz300342,天银机电,40504.6133,42709.0272
sz300343,联创互联,40033.9759,59039.269
sz300344,太空板业,33774.72,33774.72
sz300345,红宇新材,39936,44129.5483
sz300346,南大光电,16086.4,16086.4
sz300347,泰格医药,43744.0018,50017.6537
sz300348,长亮科技,19010.2604,29937.4846
sz300349,金卡智能,18000,23497.2974
sz300350,华鹏飞,37072.3824,53364.0362
sz300351,永贵电器,34128.821,38460.6412
sz300352,北信源,143552.2417,144982.4087
sz300353,东土科技,27473.4696,51693.816
sz300354,东华测试,13832.0201,13834.1201
sz300355,蒙草生态,150006.1171,160424.2081
sz300356,光一科技,34235.4208,41530.462
sz300357,我武生物,16160,16160
sz300358,楚天科技,16054.7254,44633.1171
sz300359,全通教育,54115.0642,63377.2477
sz300360,炬华科技,31209.1987,36267.75
sz300362,天翔环境,30630.1315,43539.919
sz300363,博腾股份,42274.7533,42495.7163
sz300364,中文在线,13653.7406,28475.2577
sz300365,恒华科技,17448.39,17590.5
sz300366,创意信息,38210.6266,52557.615
sz300367,东方网力,40194.5425,85544.5172
sz300368,汇金股份,26301.5322,55033.6774
sz300369,绿盟科技,53327.4064,79685.8689
sz300370,安控科技,80773.9415,95868.2632
sz300371,汇中股份,5613.0245,12000
sz300373,扬杰科技,18004.75,47249.0843
sz300374,恒通科技,11759.2,19468
sz300375,鹏翎股份,17390.4388,18578.4388
sz300376,易事特,69451.2,230383.4556
sz300377,赢时胜,71850,74253.333
sz300378,鼎捷软件,26096.9943,26096.9943
sz300379,东方通,22380.062,27703.1708
sz300380,安硕信息,7112.8352,13744
sz300381,溢多利,29823.528,40675.5366
sz300382,斯莱克,6424.7008,12517.649
sz300383,光环新网,139367.6776,144635.1388
sz300384,三联虹普,5536.16,16745.2961
sz300385,雪浪环境,7305.372,12000
sz300386,飞天诚信,19990.3469,41804.4
sz300387,富邦股份,6596.5714,12497.2
sz300388,国祯环保,17157.5358,30566.8467
sz300389,艾比森,9288.7605,31772.3036
sz300390,天华超净,15144.4077,34454.75
sz300391,康跃科技,6167.5,19820.5415
sz300392,腾信股份,16551.222,38400
sz300393,中来股份,7691.1582,18279.5
sz300394,天孚通信,9325.625,18585
sz300395,菲利华,22011.8274,29517.3
sz300396,迪瑞医疗,4672,15335
sz300397,天和防务,10320,24000
sz300398,飞凯材料,15725.71,36400
sz300399,京天利,4838.825,15200
sz300400,劲拓股份,14329.446,24000
sz300401,花园生物,10282.926,18140
sz300402,宝色股份,6610,20200
sz300403,地尔汉宇,14892.5,33500
sz300404,博济医药,6596,13427.1
sz300405,科隆股份,5033.43,11723.038
sz300406,九强生物,21509.9363,50082.8609
sz300407,凯发电气,17917.592,27550
sz300408,三环集团,101660.1852,172795.0422
sz300409,道氏技术,13737.5,21500
sz300410,正业科技,7065.6987,19710.7774
sz300411,金盾股份,7585.6,16000
sz300412,迦南科技,8316,25927.1
sz300413,快乐购,19867.8568,40100
sz300414,中光防雷,8423,17091.2351
sz300415,伊之密,28620,43200
sz300416,苏试试验,6428,12560
sz300417,南华仪器,2810,8160
sz300418,昆仑万维,44451.098,115912.4083
sz300419,浩丰科技,21296.3598,36775.377
sz300420,五洋科技,18495.4678,48523.1034
sz300421,力星股份,4200,13055.4687
sz300422,博世科,17653.7196,35606.8919
sz300423,鲁亿通,4701.6711,10706.272
sz300424,航新科技,7149.839,13307
sz300425,环能科技,16155.023,37527.4766
sz300426,唐德影视,15025.4165,40000
sz300427,红相电力,11182.2634,28374.4
sz300428,四通新材,6240,24240
sz300429,强力新材,9913.0303,25718.5994
sz300430,诚益通,4132.16,11333.704
sz300431,暴风集团,23531.2548,33197.7525
sz300432,富临精工,14471.523,50999.0175
sz300433,蓝思科技,45224.8826,261792.3326
sz300434,金石东方,5579.74,13600
sz300435,中泰股份,8568.4704,24480
sz300436,广生堂,5600,14187.57
sz300437,清水源,8484,21832.1965
sz300438,鹏辉能源,12674.9022,28115.1873
sz300439,美康生物,11039.25,34801.5
sz300440,运达科技,20397.8072,45602
sz300441,鲍斯股份,10469.16,36796.2873
sz300442,普丽盛,5889.25,10000
sz300443,金雷风电,11525.2244,23805.6802
sz300444,双杰电气,9949.696,28337.12
sz300445,康斯特,4080,16563.18
sz300446,乐凯新材,8011.8346,12280
sz300447,全信股份,9333,27748.131
sz300448,浩云科技,10106.3812,20246.6145
sz300449,汉邦高科,9149.93,14328.58
sz300450,先导智能,16898.34,40800
sz300451,创业软件,13677.4302,24294.9263
sz300452,山河药辅,4216.7104,9280
sz300453,三鑫医疗,7712.24,15872
sz300455,康拓红外,18463.2,39200
sz300456,耐威科技,7437.8186,18518.7144
sz300457,赢合科技,5644.6028,12396.2268
sz300458,全志科技,15707.4126,33267.516
sz300459,金科文化,52236.7387,158126.0853
sz300460,惠伦晶体,6950.8867,16827.42
sz300461,田中精机,2357.5,7054.38
sz300462,华铭智能,5498.6386,13776
sz300463,迈克生物,34097.799,55800
sz300464,星徽精密,10095,20975.375
sz300465,高伟达,26896,45038.1457
sz300466,赛摩电气,9900,29685.5618
sz300467,迅游科技,10117.8552,16683.04
sz300468,四方精创,6685.837,10540.97
sz300469,信息发展,3048.752,6830
sz300470,日机密封,7468,10668
sz300471,厚普股份,22092.3,37077
sz300472,新元科技,3430.5,10000.5
sz300473,德尔股份,4674.835,10493
sz300474,景嘉微,6700,26700
sz300475,聚隆科技,7250,20000
sz300476,胜宏科技,18553.9875,37467.75
sz300477,合纵科技,12545.3773,27976.8466
sz300478,杭州高新,2417,6667
sz300479,神思电子,8800,16000
sz300480,光力科技,6763.6555,18481
sz300481,濮阳惠成,7294,16000
sz300482,万孚生物,10610.6,17600
sz300483,沃施股份,3236.3,6150
sz300484,蓝海华腾,9388.6,20800
sz300485,赛升药业,8448,24000
sz300486,东杰智能,8958.3937,14138.0881
sz300487,蓝晓科技,12181.8125,20239.375
sz300488,恒锋工具,2500.8,10357.7774
sz300489,中飞股份,4899,9075
sz300490,华自科技,5000,20000
sz300491,通合科技,6723.149,14585.4
sz300492,山鼎设计,2470,8320
sz300493,润欣科技,15451.5,30000
sz300494,盛天网络,10353.75,24000
sz300495,美尚生态,25608.02,60120.7498
sz300496,中科创达,24175.8781,40233.9228
sz300497,富祥股份,6478.59,11233.725
sz300498,温氏股份,430623.3622,522035.6227
sz300499,高澜股份,6831.1919,12000.6
sz300500,启迪设计,3350.4,12300
sz300501,海顺新材,2404.08,6725.88
sz300502,新易盛,12878.25,23280
sz300503,昊志机电,10409.5173,25362.1
sz300505,川金诺,3816.97,9336
sz300506,名家汇,14802.5,30000
sz300507,苏奥传感,3000.6,12000.6
sz300508,维宏股份,1653.125,5682
sz300509,新美星,2630,8000
sz300510,金冠电气,8955,20484.9751
sz300511,雪榕生物,12910.3869,22500
sz300512,中亚股份,7819.99,27000
sz300513,恒泰实达,4523.6,7616
sz300514,友讯达,2500,10000
sz300515,三德科技,11989.5,20000
sz300516,久之洋,4710,12000
sz300517,海波重科,2560,10240
sz300518,盛讯达,4678.7205,9334
sz300519,新光药业,4940,8000
sz300520,科大国创,2300,9607.5
sz300521,爱司凯,2000,8000
sz300522,世名科技,1667,6667
sz300523,辰安科技,3600,14400
sz300525,博思软件,1710,6813.9
sz300526,中潜股份,4250,16981.4816
sz300527,华舟应急,12148.5,48583.5
sz300528,幸福蓝海,9315.6,37260.8054
sz300529,健帆生物,4200,41660.4
sz300530,达志科技,1750,7000
sz300531,优博讯,7000,28000
sz300532,今天国际,3780,15402.96
sz300533,冰川网络,2500,10000
sz300534,陇神戎发,7584.5,30334.5
sz300535,达威股份,1494,5974
sz300536,农尚环境,2327.6836,9310.7344
sz300537,广信材料,4000,16000
sz300538,同益股份,1400,5647.69
sz300539,横河模具,5225,20900
sz300540,深冷股份,2000,8000
sz300541,先进数通,3000,12000
sz300542,新晨科技,2255,9015
sz300543,朗科智能,3000,12000
sz300545,联得装备,1783,7206.6136
sz300546,雄帝科技,3335,13520.5
sz300547,川环科技,1495,5977.9215
sz300548,博创科技,2067,8267
sz300549,优德精密,3334,13334
sz300550,和仁科技,2000,8000
sz300551,古鳌科技,1836,7336
sz300552,万集科技,2670,10670
sz300553,集智股份,1200,4800
sz300554,三超新材,1300,5200
sz300555,路通视信,5000,20000
sz300556,丝路视觉,2780,11113.3333
sz300557,理工光科,1400,5566.854
sz300558,贝达药业,4100,40100
sz300559,佳发安泰,1800,7180
sz300560,中富通,1753,7012
sz300561,汇金科技,2100,8400
sz300562,乐心医疗,4736,18880
sz300563,神宇股份,2000,8000
sz300565,科信技术,4000,16000
sz300566,激智科技,2985,12438.3
sz300567,精测电子,2000,8000
sz300568,星源材质,4800,19200
sz300569,天能重工,3751.2,15001.2
sz300570,太辰光,5749.92,22999.68
sz300571,平治信息,1000,4000
sz300572,安车检测,1667,6725.4
sz300573,兴齐眼药,2000,8000
sz300575,中旗股份,1835,7335
sz300576,容大感光,3000,12000
sz300577,开润股份,3000.6,12000.6
sz300578,会畅通讯,1800,7200
sz300579,数字认证,2000,8000
sz300580,贝斯特,5000,20000
sz300581,晨曦航空,2260,9040
sz300582,英飞特,4950,19800
sz300583,赛托生物,2666.6667,10666.6667
sz300584,海辰药业,2000,8000
sz300585,奥联电子,4000,16000
sz300586,美联新材,2400,9600
sz300587,天铁股份,2600,10400
sz300588,熙菱信息,2500,10000
sz300589,江龙船艇,2817.1,11267.1
sz300590,移为通信,4000,16000
sz300591,万里马,7800,31200
sz300592,华凯创意,3060,12238.11
sz300593,新雷能,2889,11554
sz300595,欧普康视,3060,12240
sz300596,利安隆,4500,18000
sz300597,吉大通信,6000,24000
sz300598,诚迈科技,2000,8000
sz300599,雄塑科技,7600,30400
sz300600,瑞特股份,2500,10000
sz300601,康泰生物,4200,41100
sz300602,飞荣达,2500,10000
sz300603,立昂技术,2570,10250
sz300604,长川科技,1905,7619.4
sz300605,恒锋信息,2100,8400
sz300606,金太阳,2230,8920
sz300607,拓斯达,1812,7246.7827
sz300608,思特奇,2191.15,8764.6
sz300609,汇纳科技,2500,10000
sz300610,晨化股份,3750,15000
sz300611,美力科技,4474,17895.055
sz300612,宣亚国际,2700,10800
sz300613,富瀚微,1111.15,4444.48
sz300615,欣天科技,2000,8000
sz300616,尚品宅配,2700,10800
sz300617,安靠智电,1667,6667
sz300618,寒锐钴业,3000,12000
sz300619,金银河,1868,7468
sz300620,光库科技,2200,8800
sz300621,维业股份,3400,13600
sz300622,博士眼镜,2145,8580
sz300623,捷捷微电,2360,9360
sz300625,三雄极光,7000,28000
sz300626,华瑞股份,2500,10000
sz300627,华测导航,2980,11920
sz300628,亿联网络,1867,7467
sz300629,新劲刚,1666.67,6666.67
sz300630,普利制药,3052.9405,12211.762
sz300631,久吾高科,1610,6414
sz300632,光莆股份,2895,11580
sz300633,开立医疗,4001,40001
sz300635,达安股份,2120,8480
sz300636,同和药业,2000,8000
sz300637,扬帆新材,3000,12000
sz300638,广和通,2000,8000
sz300639,凯普生物,2250,9000
sz300640,德艺文创,2000,8000
sz300641,正丹股份,7200,28800
sz300642,透景生命,1500,6000
sz300643,万通智控,5000,20000
sz300645,正元智慧,1666.6667,6666.6667
sz300647,超频三,3000,12000
sz300648,星云股份,1700,6770
sz300649,杭州园林,1600,6400
sz300650,太龙照明,1578.7,6314.8
sz300651,金陵体育,1893.34,7573.34
sz300652,雷迪克,2200,8800
sz300653,正海生物,2000,8000
sz300655,晶瑞股份,2206.25,8824.9935
sz300656,民德电子,1500,6000
sz300657,弘信电子,2600,10400
sz300658,延江股份,2500,10000
sz300659,中孚信息,2040,8160
sz300660,江苏雷利,2527,10108
sz300661,圣邦股份,1500,6000
sz300662,科锐国际,4500,18000
sz300663,科蓝软件,3286,13142.6719
sz300665,飞鹿股份,1900,7600
sz300666,江丰电子,5469,21876
sz300667,必创科技,1700,6800
sz300668,杰恩设计,1058,4216
sz300669,沪宁股份,2105,8420
sz300673,佩蒂股份,5636.6666,6000
