代码,名称,流通A股(万股),总股本(万股)
sz002619,艾格拉斯,67417.1922,144003.7938
sz002620,瑞和股份,12000,14500
sz002621,三垒股份,33750,33750
sz002622,融钰集团,84000,84000
sz002623,亚玛顿,16000,16000
sz002624,完美世界,32266.2202,131468.6873
sz002625,光启技术,29869.7529,126751.1727
sz002626,金达威,57600,61648.1927
sz002627,宜昌交运,13350,13350
sz002628,成都路桥,73741.6215,73741.6215
sz002629,仁智股份,34460.0433,41194.8
sz002630,华西能源,73800,73800
sz002631,德尔未来,29364.896,65048
sz002632,道明光学,58431.3628,59172.1032
sz002633,申科股份,15000,15000
sz002634,棒杰股份,46100.2575,46100.2575
sz002635,安洁科技,58310.7519,58612.4019
sz002636,金安国纪,25134.2,72800
sz002637,赞宇科技,32000,41680
sz002638,勤上股份,93667.5,151868.5574
sz002639,雪人股份,48371.4733,67407.2767
sz002640,跨境通,97270.6884,143151.0371
sz002641,永高股份,112320,112320
sz002642,荣之联,59429.3591,63576.9528
sz002643,万润股份,79347.5783,90913.3215
sz002644,佛慈制药,51065.7,51065.7
sz002645,华宏科技,16091.3662,20944.5019
sz002646,青青稞酒,45000,45000
sz002647,民盛金科,37329.11,37329.11
sz002648,卫星石化,80000,80352
sz002649,博彦科技,51033.48,52731.42
sz002650,加加食品,115200,115200
sz002651,利君股份,100250,100250
sz002652,扬子新材,51206.4,51206.4
sz002653,海思科,108027,108027
sz002654,万润科技,56822.8748,82778.701
sz002655,共达电声,36000,36000
sz002656,摩登大道,32000,43068.4547
sz002657,中科金财,30520.6337,33757.6686
sz002658,雪迪龙,60488.032,60488.032
sz002659,中泰桥梁,30104.7497,49856.6987
sz002660,茂硕电源,25470.6664,27703.0616
sz002661,克明面业,33151.8373,33633.4048
sz002662,京威股份,122786,150000
sz002663,普邦股份,166853.0296,179589.0452
sz002664,信质电机,40002,40002
sz002665,首航节能,175770,197112.9886
sz002666,德联集团,75432.9268,75432.9268
sz002667,鞍重股份,13596,13596
sz002668,奥马电器,46298,63547.0225
sz002669,康达新材,20000,23079.7101
sz002670,国盛金控,49348.4011,149780.44
sz002671,龙泉股份,43849.08,47658.2556
sz002672,东江环保,66802.9602,88715.2102
sz002673,西部证券,350183.977,350183.977
sz002674,兴业科技,24057.2,30217.8412
sz002675,东诚药业,53940.3498,70360.3035
sz002676,顺威股份,72000,72000
sz002677,浙江美大,64000,64587.2102
sz002678,珠江钢琴,95600,95600
sz002679,福建金森,13868,13868
sz002680,长生生物,42681.4947,97369.0378
sz002681,奋达科技,108756.468,124665.26
sz002682,龙洲股份,19728.5201,37491.2396
sz002683,宏大爆破,58171.5261,70148.7983
sz002684,猛狮科技,36031.489,56737.4389
sz002685,华东重机,56000,68944.2857
sz002686,亿利达,40913.55,44329.5521
sz002687,乔治白,35485.2,35485.2
sz002688,金河生物,54460,63528.9655
sz002689,远大智能,94846.4296,95630.7976
sz002690,美亚光电,67600,67600
sz002691,冀凯股份,20000,20000
sz002692,睿康股份,71814.6,71814.6
sz002693,双成药业,40500,40500
sz002694,顾地科技,55296,59719.68
sz002695,煌上煌,49995.7128,49995.7128
sz002696,百洋股份,17600,17600
sz002697,红旗连锁,136000,136000
sz002698,博实股份,68170,68170
sz002699,美盛文化,74052,90957.2725
sz002700,新疆浩源,42242.688,42242.688
sz002701,奥瑞金,179991.36,235522.56
sz002702,海欣食品,48076,50670.2
sz002703,浙江世宝,14645.0242,31585.7855
sz002705,新宝股份,22189.9405,81343.7768
sz002706,良信电器,50016.3948,51757.632
sz002707,众信旅游,52245.5844,84352.942
sz002708,光洋股份,42399.9578,46946.996
sz002709,天赐材料,18716.0215,32504.1305
sz002711,欧浦智网,66004.4,66004.4
sz002712,思美传媒,26108.4027,31656.3817
sz002713,东易日盛,8788.2238,25375.2652
sz002714,牧原股份,96800,115846.3457
sz002715,登云股份,5490.0444,9200
sz002716,金贵银业,33416.4872,56498.7172
sz002717,岭南园林,32898.488,41584.52
sz002718,友邦吊顶,2096,8763.1886
sz002719,麦趣尔,8741.7146,10883.7161
sz002721,金一文化,45203.4202,64803.6
sz002722,金轮股份,8703.6519,17546.6542
sz002723,金莱特,18265,18670
sz002724,海洋王,10060.8375,60000
sz002725,跃岭股份,6933.76,16000
sz002726,龙大肉食,44035.5,44476
sz002727,一心堂,23732.576,52060
sz002728,特一药业,6500,20000
sz002729,好利来,1768,6668
sz002730,电光科技,10267.4,32267.4
sz002731,萃华珠宝,5342,15068
sz002732,燕塘乳业,6263.14,15735
sz002733,雄韬股份,11658.4469,35011.3207
sz002734,利民股份,8673.678,16470.8953
sz002735,王子新材,2402,8000
